Survived,Pclass,Sex,Age,SibSp,Parch,Fare,Embarked
0,3,male,22.0,1.0,0.0,7.25,S
1,1,female,38.0,1.0,0.0,181.64499999999998,C
1,3,female,26.0,0.0,0.0,7.925,S
1,1,female,35.0,1.0,0.0,53.1,S
0,3,male,35.0,0.0,0.0,8.05,S
0,3,male,28.0,0.0,0.0,84.583,Q
0,1,male,54.0,0.0,0.0,181.64499999999998,S
0,3,male,2.0,2.5,0.0,21.075,S
1,3,female,27.0,0.0,0.0,111.333,S
1,2,female,14.0,1.0,0.0,181.64499999999998,C
1,3,female,4.0,1.0,0.0,16.7,S
1,1,female,57.0,0.0,0.0,26.55,S
0,3,male,20.0,0.0,0.0,8.05,S
0,3,male,39.0,1.0,0.0,31.275,S
0,3,female,14.0,0.0,0.0,78.542,S
1,2,female,55.0,0.0,0.0,16.0,S
0,3,male,2.0,2.5,0.0,29.125,Q
1,2,male,28.0,0.0,0.0,13.0,S
0,3,female,31.0,1.0,0.0,18.0,S
1,3,female,28.0,0.0,0.0,7.225,C
0,2,male,35.0,0.0,0.0,26.0,S
1,2,male,34.0,0.0,0.0,13.0,S
1,3,female,15.0,0.0,0.0,80.292,Q
1,1,male,28.0,0.0,0.0,35.5,S
0,3,female,8.0,2.5,0.0,21.075,S
1,3,female,38.0,1.0,0.0,181.64499999999998,S
0,3,male,28.0,0.0,0.0,7.225,C
0,1,male,19.0,2.5,0.0,181.64499999999998,S
1,3,female,28.0,0.0,0.0,78.792,Q
0,3,male,28.0,0.0,0.0,78.958,S
0,1,male,40.0,0.0,0.0,181.64499999999998,C
1,1,female,28.0,1.0,0.0,27.75,C
1,3,female,28.0,0.0,0.0,7.75,Q
0,2,male,57.0,0.0,0.0,10.5,S
0,1,male,28.0,1.0,0.0,181.64499999999998,C
0,1,male,42.0,1.0,0.0,52.0,S
1,3,male,28.0,0.0,0.0,72.292,C
0,3,male,21.0,0.0,0.0,8.05,S
0,3,female,18.0,2.0,0.0,18.0,S
1,3,female,14.0,1.0,0.0,112.417,C
0,3,female,40.0,1.0,0.0,9.475,S
0,2,female,27.0,1.0,0.0,21.0,S
0,3,male,28.0,0.0,0.0,78.958,C
1,2,female,3.0,1.0,0.0,181.64499999999998,C
1,3,female,19.0,0.0,0.0,78.792,Q
0,3,male,28.0,0.0,0.0,8.05,S
0,3,male,28.0,1.0,0.0,15.5,Q
1,3,female,28.0,0.0,0.0,7.75,Q
0,3,male,28.0,2.0,0.0,181.64499999999998,C
0,3,female,18.0,1.0,0.0,17.8,S
0,3,male,7.0,2.5,0.0,181.64499999999998,S
0,3,male,21.0,0.0,0.0,7.8,S
1,1,female,49.0,1.0,0.0,181.64499999999998,C
1,2,female,29.0,1.0,0.0,26.0,S
